bill no,product name,no of units,full amount,date
50029,HEINZ TOMATO KETCHUP 300G,4,2824.78,2025-01-01
50030,VEG GINGER 1KG,2,2988.62,2025-01-01
50031,RED LENTILS (MYSOOR DHAL) 1KG,2,1006.49,2025-01-01
50032,VEG SWEET POTATO 1KG,1,246.69,2025-01-01
50033,FRT PINEAPPLE,5,2022.61,2025-01-01
50034,LIFEBUOY SOAP TOTAL 10 100G,3,264.85,2025-01-01
50035,COCONUT MILK POWDER 400G,5,3033.17,2025-01-01
50036,HIGHLAND SET YOGHURT 90G,3,237.54,2025-01-01
50037,HEINZ TOMATO KETCHUP 300G,3,2070.89,2025-01-01
50038,SIRILAK ROASTED PEANUTS 75G,5,504.21,2025-01-01
50039,NEWS PAPER ARUNA,1,71.04,2025-01-01
50040,KOTMALE CHEESE SLICES 10S,3,2218.99,2025-01-01
50041,LION SODA 1L,2,302.56,2025-01-01
50042,MD MANGO JAM 500G,1,641.43,2025-01-01
50043,MEADOWLEA FAT SPREAD 500G,5,5498.85,2025-01-01
50044,FRESH MILK 1L,1,395.78,2025-01-01
50045,COCONUT MILK POWDER 400G,3,1815.23,2025-01-01
50046,KOTMALE CHEESE SLICES 10S,2,1526.57,2025-01-01
50047,LION SODA 1L,1,149.98,2025-01-01
50048,VEG CABBAGE 1KG,1,183.34,2025-01-01
50049,UBC SAVOURY MURUKKU 100G,1,127.62,2025-01-01
50050,CLEAR SHAMPOO 180ML,4,2018.71,2025-01-01
50051,DILMAH PREMIUM LEAF TEA 200G,4,3214.04,2025-01-01
50052,VEG CUCUMBER 1KG,1,148.14,2025-01-01
50053,VEG CUCUMBER 1KG,2,305.89,2025-01-01
50054,VEG CUCUMBER 1KG,1,148.85,2025-01-01
50055,KIST PEANUT BUTTER 340G,5,4023.12,2025-01-01
50056,MD MANGO JAM 500G,3,1933.35,2025-01-01
50057,MUNCHEE CHOCOLATE WAFERS 85G,3,300.25,2025-01-01
50058,ROYAL CASHEW NUTS 100G,5,4020.09,2025-01-01
50059,CURRY POWDER 100G,4,990.23,2025-01-01
50060,BAKEWELL WHITE BREAD 450G,1,177.15,2025-01-01
50061,VEG LADIES FINGERS 1KG,3,603.34,2025-01-01
50062,RIN DETERGENT POWDER 1KG,1,470.92,2025-01-01
50063,SUNQUICK FRUIT JUICE 840ML,3,2258.32,2025-01-01
50064,RIN DETERGENT POWDER 1KG,3,1457.31,2025-01-01
50065,VEG PUMPKIN 1KG,1,117.99,2025-01-01
50066,COCA-COLA 1.5L,3,890.06,2025-01-01
50067,COCONUT MILK POWDER 400G,4,2402.01,2025-01-01
50068,AIRWICK AIR FRESHENER 250ML,5,2999.43,2025-01-01
50069,NEWS PAPER ARUNA,2,139.04,2025-01-01
50070,PRIMA INSTANT NOODLES CHICKEN,5,611.22,2025-01-01
50071,VEG LIME 1KG,1,503.18,2025-01-01
50072,VEG ASH PLANTAINS 1KG,2,303.26,2025-01-01
50073,FRESH MILK 1L,2,785.2,2025-01-01
50074,PRAN POTATO CHIPS 75G,5,905.69,2025-01-01
50075,AIRWICK AIR FRESHENER 250ML,4,2358.91,2025-01-01
50076,VEG PUMPKIN 1KG,1,121.96,2025-01-01
50077,AIRWICK AIR FRESHENER 250ML,2,1187.64,2025-01-01
50078,TESS CANNED MACKEREL 425G,1,688.87,2025-01-01
50079,VIM DISHWASH LIQUID 500ML,4,1117.83,2025-01-01
50080,RIN DETERGENT POWDER 1KG,1,488.67,2025-01-01
50081,SAMAPOSHA 200G,4,706.44,2025-01-01
50082,VEG GINGER 1KG,3,4492.49,2025-01-01
50083,CURRY POWDER 100G,5,1247.34,2025-01-01
50084,AQUAFINA BOTTLED WATER 5L,4,1019.69,2025-01-01
50085,GILLETTE RAZOR,1,251.71,2025-01-01
50086,CHICKPEAS 1KG,2,1183.02,2025-01-01
50087,VEG LADIES FINGERS 1KG,1,200.13,2025-01-01
50088,VEG CAPSICUM 1KG,3,1507.33,2025-01-01
50089,VEG CAPSICUM 1KG,1,508.5,2025-01-01
50090,MEADOWLEA FAT SPREAD 500G,3,3312.44,2025-01-01
50091,MUNCHEE CHOCOLATE WAFERS 85G,2,196.67,2025-01-01
50092,FRESH MILK 1L,2,797.35,2025-01-01
50093,DETTOL ANTISEPTIC LIQUID 500ML,5,3980.29,2025-01-01
50094,MAGGI COCONUT MILK POWDER 1KG,3,4495.42,2025-01-01
50095,AIRWICK AIR FRESHENER 250ML,2,1204.5,2025-01-01
50096,COCONUT OIL 750ML,2,1689.84,2025-01-01
50097,MD MANGO JAM 500G,4,2548.26,2025-01-01
50098,NIPPON TUNA IN OIL 185G,3,1930.1,2025-01-01
50099,VEG LEEKS 1KG,2,565.63,2025-01-01
50100,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,2,503.44,2025-01-01
50101,FRT PAPAYA 1KG,1,199.12,2025-01-01
50102,VEG GINGER 1KG,2,3005.84,2025-01-01
50103,DILMAH PREMIUM LEAF TEA 200G,2,1583.21,2025-01-01
50104,FRESH MILK 1L,2,813.35,2025-01-01
50105,SAMAPOSHA 200G,5,887.41,2025-01-01
50106,SIRILAK POP CORN,3,444.39,2025-01-01
50107,LAKMO EGG PACK L 10,4,2157.85,2025-01-01
50108,KOTMALE CHEESE SLICES 10S,2,1472.04,2025-01-01
50109,AIRWICK AIR FRESHENER 250ML,1,588.04,2025-01-01
50110,SIRILAK POP CORN,5,753.45,2025-01-01
50111,VEG LADIES FINGERS 1KG,2,397.73,2025-01-01
50112,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,2,1097.93,2025-01-01
50113,PRAN POTATO CHIPS 75G,3,534.55,2025-01-01
50114,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,5,1230.7,2025-01-01
50115,BROWN SUGAR 1KG,3,1337.72,2025-01-01
50116,LION SODA 1L,1,150.39,2025-01-01
50117,VEG BIG ONIONS 1KG,1,353.11,2025-01-01
50118,VIM DISHWASH LIQUID 500ML,2,555.47,2025-01-01
50119,BAKEWELL WHITE BREAD 450G,4,734.01,2025-01-01
50120,SUNQUICK FRUIT JUICE 840ML,5,3681.19,2025-01-01
50121,VEG SWEET POTATO 1KG,3,757.62,2025-01-01
50122,ROZA PASTA SPAGHETTI 500G,1,557.03,2025-01-01
50123,FT AVOCADO 1KG,3,1785.41,2025-01-01
50124,MD MANGO JAM 500G,1,656.41,2025-01-01
50125,AIRWICK AIR FRESHENER 250ML,2,1213.37,2025-01-01
50126,EDINBOROUGH CORDIAL 750ML,5,2251.5,2025-01-01
50127,FRT PAPAYA 1KG,2,393.88,2025-01-01
50128,NESCAFE CLASSIC 100G JAR,2,2606.07,2025-01-01
50129,MILO POWDER 400G,3,3047.78,2025-01-01
50130,LAKMO EGG PACK L 10,1,550.95,2025-01-01
50131,SIRILAK FENUGREEK 100G,4,604.07,2025-01-01
50132,VEG PUMPKIN 1KG,2,239.25,2025-01-01
50133,PAMPERS DIAPERS L 44S,5,22312.29,2025-01-01
50134,VEG GREEN BEANS 1KG,3,888.94,2025-01-01
50135,VEG ASH PLANTAINS 1KG,3,448.13,2025-01-01
50136,BAYGON MOSQUITO COILS 10S,1,149.22,2025-01-01
50137,MUNCHEE CHOCOLATE MARIE 90G,2,180.09,2025-01-01
50138,VEG GINGER 1KG,2,3057.39,2025-01-01
50139,LAKMEE SOY CUTTLEFISH 60G,3,543.1,2025-01-01
50140,CINNAMON STICKS 50G,3,1181.28,2025-01-01
50141,VEG RED ONIONS 1KG,1,384.42,2025-01-01
50142,BAKEWELL WHITE BREAD 450G,3,533.63,2025-01-01
50143,HIGHLAND SET YOGHURT 90G,1,79.78,2025-01-01
50144,NEWS PAPER ARUNA,1,69.78,2025-01-01
50145,LITTLE LION CHOCOLATE CAKE SLICE,4,590.23,2025-01-01
50146,WHITE SUGAR 1KG,3,1032.37,2025-01-01
50147,FLORA TOILET PAPER ROLL 2PLY,2,203.9,2025-01-01
50148,SIRILAK POP CORN,5,753.12,2025-01-01
50149,BAKEWELL WHITE BREAD 450G,4,729.27,2025-01-01
50150,VEG GARLIC 1KG,2,2403.72,2025-01-01
50151,VEG LIME 1KG,3,1516.2,2025-01-01
50152,VEG RED ONIONS 1KG,2,755.02,2025-01-01
50153,FRT PINEAPPLE,2,810.28,2025-01-01
50154,PRIMA PLAIN FLOUR 1KG,2,758.71,2025-01-01
50155,CLEAR SHAMPOO 180ML,3,1517.36,2025-01-01
50156,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,5,1268.89,2025-01-01
50157,KELLOGGS CORN FLAKES POUCH 250G,1,698.12,2025-01-01
50158,VEG LIME 1KG,2,1006.08,2025-01-01
50159,VEG LEEKS 1KG,3,849.62,2025-01-01
50160,FRESH MILK 1L,1,395.75,2025-01-01
50161,COCONUT MILK POWDER 400G,1,588.58,2025-01-01
50162,LAKMEE SOY CUTTLEFISH 60G,4,721.63,2025-01-01
50163,SIRILAK POP CORN,3,445.41,2025-01-01
50164,BAKEWELL WHITE BREAD 450G,1,178.66,2025-01-01
50165,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,4,2208.29,2025-01-01
50166,ROYAL CASHEW NUTS 100G,3,2437.56,2025-01-01
50167,CLOGARD TOOTHBRUSH SMART PROMO,1,122.4,2025-01-01
50168,AIRWICK AIR FRESHENER 250ML,1,602.23,2025-01-01
50169,KOTMALE CHEESE SLICES 10S,3,2257.51,2025-01-01
50170,VEG LEEKS 1KG,2,551.84,2025-01-01
50171,LITTLE LION CHOCOLATE CAKE SLICE,5,762.59,2025-01-01
50172,RICH LIFE SET KIRI DAIRY DESSERT 450G,3,907.77,2025-01-01
50173,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,5,1249.89,2025-01-01
50174,NEWS PAPER ARUNA,1,70.54,2025-01-01
50175,VEG CAPSICUM 1KG,3,1517.39,2025-01-01
50176,VEG LADIES FINGERS 1KG,1,197.57,2025-01-01
50177,ROYAL CASHEW NUTS 100G,5,3993.42,2025-01-01
50178,CINNAMON STICKS 50G,5,2028.24,2025-01-01
50179,RED LENTILS (MYSOOR DHAL) 1KG,3,1520.29,2025-01-01
50180,RIN DETERGENT POWDER 1KG,3,1424.98,2025-01-02
50181,COCONUT MILK POWDER 400G,2,1181.79,2025-01-02
50182,KELLOGGS CORN FLAKES POUCH 250G,3,2102.34,2025-01-02
50183,KELLOGGS HEART TO HEART OATS 200G,4,2587.9,2025-01-02
50184,DETTOL ANTISEPTIC LIQUID 500ML,1,789.22,2025-01-02
50185,VEG ASH PLANTAINS 1KG,3,450.74,2025-01-02
50186,FT AVOCADO 1KG,3,1824.83,2025-01-02
50187,RIN DETERGENT POWDER 1KG,1,479.1,2025-01-02
50188,FLORA TOILET PAPER ROLL 2PLY,3,297.14,2025-01-02
50189,AQUAFINA BOTTLED WATER 5L,1,253.7,2025-01-02
50190,NESCAFE CLASSIC 100G JAR,4,5103.8,2025-01-02
50191,TESS CANNED MACKEREL 425G,3,2135.63,2025-01-02
50192,FRESH WHOLE CHICKEN SL 1KG,2,2755.3,2025-01-02
50193,SIRILAK ROASTED PEANUTS 75G,1,98.54,2025-01-02
50194,HEINZ TOMATO KETCHUP 300G,1,693.76,2025-01-02
50195,WHITE RAW RICE 1KG,1,223.12,2025-01-02
50196,NESCAFE CLASSIC 100G JAR,1,1296.54,2025-01-02
50197,TURMERIC POWDER 100G,5,1732.21,2025-01-02
50198,NEWS PAPER ARUNA,2,142.13,2025-01-02
50199,MUNCHEE CHOCOLATE WAFERS 85G,1,99.68,2025-01-02
50200,FRESH MILK 1L,1,406.02,2025-01-02
50201,KELLOGGS HEART TO HEART OATS 200G,2,1297.14,2025-01-02
50202,BAKEWELL WHITE BREAD 450G,5,911.59,2025-01-02
50203,HARISCHANDRA COFFEE 200G,2,1804.36,2025-01-02
50204,ANCHOR BUTTER 227G,1,1198.59,2025-01-02
50205,CLEAR SHAMPOO 180ML,2,983.46,2025-01-02
50206,VEG CABBAGE 1KG,2,366.92,2025-01-02
50207,icecream,1,755.48,2025-01-02
50208,BAKEWELL WHITE BREAD 450G,2,360.71,2025-01-02
50209,RIN DETERGENT POWDER 1KG,1,479.94,2025-01-02
50210,EDINBOROUGH CORDIAL 750ML,1,454.63,2025-01-02
50211,TESS CANNED MACKEREL 425G,4,2791.74,2025-01-02
50212,VEG RED ONIONS 1KG,2,775.12,2025-01-02
50213,FRT PINEAPPLE,2,806.47,2025-01-02
50214,VEG CARROT 1KG,2,634.99,2025-01-02
50215,RICH LIFE SET KIRI DAIRY DESSERT 450G,4,1212.88,2025-01-02
50216,VEG BIG ONIONS 1KG,3,1045.4,2025-01-02
50217,SUNQUICK FRUIT JUICE 840ML,1,746.74,2025-01-02
50218,ROYAL CASHEW NUTS 100G,2,1626.19,2025-01-02
50219,SIRILAK FENUGREEK 100G,5,738.57,2025-01-02
50220,NEWS PAPER ARUNA,5,348.3,2025-01-02
50221,DILMAH PREMIUM LEAF TEA 200G,5,3993.78,2025-01-02
50222,RICH LIFE SET KIRI DAIRY DESSERT 450G,5,1518.97,2025-01-02
50223,MD MANGO JAM 500G,2,1282.98,2025-01-02
50224,VEG RED ONIONS 1KG,1,385.0,2025-01-02
50225,PRIMA PLAIN FLOUR 1KG,1,377.84,2025-01-02
50226,TESS CANNED MACKEREL 425G,2,1407.91,2025-01-02
50227,SUNQUICK FRUIT JUICE 840ML,5,3694.83,2025-01-02
50228,VEG TOMATOES 1KG,3,1200.99,2025-01-02
50229,MEADOWLEA FAT SPREAD 500G,5,5491.67,2025-01-02
50230,PRAN POTATO CHIPS 75G,2,353.99,2025-01-02
50231,MEADOWLEA FAT SPREAD 500G,3,3238.73,2025-01-02
50232,FRESH WHOLE CHICKEN SL 1KG,2,2774.44,2025-01-02
50233,BAKEWELL WHITE BREAD 450G,5,886.48,2025-01-02
50234,RED LENTILS (MYSOOR DHAL) 1KG,2,1004.2,2025-01-02
50235,AQUAFINA BOTTLED WATER 5L,3,750.84,2025-01-02
50236,GILLETTE RAZOR,2,496.75,2025-01-02
50237,CURRY POWDER 100G,5,1247.86,2025-01-02
50238,COCONUT OIL 750ML,3,2589.67,2025-01-02
50239,DILMAH PREMIUM LEAF TEA 200G,3,2446.26,2025-01-02
50240,VEG BITTER GOURD 1KG,1,216.24,2025-01-02
50241,BAYGON MOSQUITO COILS 10S,2,299.41,2025-01-02
50242,TESS CANNED MACKEREL 425G,4,2818.04,2025-01-02
50243,CURRY POWDER 100G,5,1253.02,2025-01-02
50244,MAGGI COCONUT MILK POWDER 1KG,3,4578.49,2025-01-02
50245,CLEAR SHAMPOO 180ML,3,1513.24,2025-01-02
50246,VEG GINGER 1KG,2,3013.36,2025-01-02
50247,VEG LEEKS 1KG,2,552.97,2025-01-02
50248,HIGHLAND SET YOGHURT 90G,5,398.94,2025-01-02
50249,NIPPON TUNA IN OIL 185G,3,1929.26,2025-01-02
50250,FRESH WHOLE CHICKEN SL 1KG,3,4198.68,2025-01-02
50251,KELLOGGS HEART TO HEART OATS 200G,5,3300.5,2025-01-02
50252,BROWN SUGAR 1KG,3,1349.57,2025-01-02
50253,GILLETTE RAZOR,2,490.29,2025-01-02
50254,MEADOWLEA FAT SPREAD 500G,5,5525.97,2025-01-02
50255,MAGGI COCONUT MILK POWDER 1KG,1,1527.06,2025-01-02
50256,HIGHLAND SET YOGHURT 90G,1,78.41,2025-01-02
50257,VEG CABBAGE 1KG,2,356.29,2025-01-02
50258,CINNAMON STICKS 50G,2,809.24,2025-01-02
50259,KIST PEANUT BUTTER 340G,4,3140.88,2025-01-02
50260,KELLOGGS CORN FLAKES POUCH 250G,3,2093.0,2025-01-02
50261,KELLOGGS CORN FLAKES POUCH 250G,1,708.69,2025-01-02
50262,AQUAFINA BOTTLED WATER 5L,3,740.37,2025-01-02
50263,VEG LEEKS 1KG,2,564.41,2025-01-02
50264,CLOGARD TOOTHBRUSH SMART PROMO,4,477.55,2025-01-02
50265,COCONUT,5,643.01,2025-01-02
50266,FRESH WHOLE CHICKEN SL 1KG,2,2848.19,2025-01-02
50267,UBC SAVOURY MURUKKU 100G,4,519.1,2025-01-02
50268,NESCAFE CLASSIC 100G JAR,3,3844.69,2025-01-02
50269,FRT PINEAPPLE,3,1181.14,2025-01-02
50270,VEG CARROT 1KG,1,320.64,2025-01-02
50271,VEG BITTER GOURD 1KG,2,431.68,2025-01-02
50272,MAGGI COCONUT MILK POWDER 1KG,3,4436.76,2025-01-02
50273,VEG TOMATOES 1KG,2,808.22,2025-01-02
50274,KITHUL TREACLE BOTTLE 750ML,3,2746.9,2025-01-02
50275,VEG GINGER 1KG,2,2985.54,2025-01-02
50276,COCONUT MILK POWDER 400G,3,1787.58,2025-01-02
50277,VEG GREEN BEANS 1KG,1,305.68,2025-01-02
50278,MUNCHEE SUPER CREAM CRACKER 120G,2,221.07,2025-01-02
50279,NESCAFE CLASSIC 100G JAR,4,5283.49,2025-01-02
50280,HEINZ TOMATO KETCHUP 300G,5,3539.76,2025-01-02
50281,MAGGI COCONUT MILK POWDER 1KG,3,4564.81,2025-01-02
50282,icecream,5,3743.08,2025-01-02
50283,NESCAFE CLASSIC 100G JAR,2,2554.04,2025-01-02
50284,VEG SWEET POTATO 1KG,3,738.4,2025-01-02
50285,icecream,5,3738.48,2025-01-02
50286,BAKEWELL WHITE BREAD 450G,5,901.04,2025-01-02
50287,DETTOL ANTISEPTIC LIQUID 500ML,5,4039.55,2025-01-02
50288,KELLOGGS HEART TO HEART OATS 200G,2,1281.16,2025-01-02
50289,TURMERIC POWDER 100G,1,344.95,2025-01-02
50290,LIFEBUOY SOAP TOTAL 10 100G,5,457.03,2025-01-02
50291,NIPPON TUNA IN OIL 185G,1,659.02,2025-01-02
50292,BAYGON MOSQUITO COILS 10S,1,150.09,2025-01-02
50293,icecream,3,2212.0,2025-01-02
50294,SUNQUICK FRUIT JUICE 840ML,2,1497.3,2025-01-02
50295,PRAN POTATO CHIPS 75G,4,716.66,2025-01-02
50296,AQUAFINA BOTTLED WATER 5L,5,1243.15,2025-01-02
50297,FLORA TOILET PAPER ROLL 2PLY,1,100.32,2025-01-02
50298,PAMPERS DIAPERS L 44S,1,4410.76,2025-01-02
50299,VEG BIG ONIONS 1KG,3,1052.96,2025-01-02
50300,VEG CAPSICUM 1KG,1,496.74,2025-01-03
50301,VEG TOMATOES 1KG,1,404.03,2025-01-03
50302,icecream,1,739.06,2025-01-03
50303,HIGHLAND SET YOGHURT 90G,2,162.93,2025-01-03
50304,SALT 1KG,1,101.25,2025-01-03
50305,FRESH MILK 1L,2,791.27,2025-01-03
50306,ENERGIZER BATTERY AA 2S,3,900.44,2025-01-03
50307,NESCAFE CLASSIC 100G JAR,4,5141.02,2025-01-03
50308,VEG TOMATOES 1KG,3,1222.83,2025-01-03
50309,JOHNSONS BABY POWDER 200G,2,1217.76,2025-01-03
50310,KELLOGGS CORN FLAKES POUCH 250G,5,3500.38,2025-01-03
50311,DILMAH PREMIUM LEAF TEA 200G,1,788.84,2025-01-03
50312,COCONUT OIL 750ML,2,1666.7,2025-01-03
50313,VIM DISHWASH LIQUID 500ML,1,278.87,2025-01-03
50314,FRESH WHOLE CHICKEN SL 1KG,1,1373.33,2025-01-03
50315,KITHUL TREACLE BOTTLE 750ML,2,1824.37,2025-01-03
50316,BAYGON MOSQUITO COILS 10S,5,746.11,2025-01-03
50317,COCONUT MILK POWDER 400G,3,1808.42,2025-01-03
50318,COCA-COLA 1.5L,3,909.12,2025-01-03
50319,COCONUT OIL 750ML,5,4223.85,2025-01-03
50320,MAGGI COCONUT MILK POWDER 1KG,1,1529.87,2025-01-03
50321,FT AVOCADO 1KG,2,1183.53,2025-01-03
50322,VEG ASH PLANTAINS 1KG,3,452.85,2025-01-03
50323,MAGGI COCONUT MILK POWDER 1KG,1,1496.24,2025-01-03
50324,ROZA PASTA SPAGHETTI 500G,4,2238.99,2025-01-03
50325,DETTOL ANTISEPTIC LIQUID 500ML,4,3161.02,2025-01-03
50326,FRT BANANA (AMBUL) 1KG,3,762.13,2025-01-03
50327,icecream,4,2999.18,2025-01-03
50328,VEG BITTER GOURD 1KG,1,220.62,2025-01-03
50329,VEG GREEN BEANS 1KG,1,294.81,2025-01-03
50330,UBC SAVOURY MURUKKU 100G,2,257.28,2025-01-03
50331,CLEAR SHAMPOO 180ML,4,1985.62,2025-01-03
50332,PRIMA PLAIN FLOUR 1KG,2,756.76,2025-01-03
50333,LION SODA 1L,1,150.69,2025-01-03
50334,SAMAPOSHA 200G,4,732.83,2025-01-03
50335,BAYGON MOSQUITO COILS 10S,4,592.06,2025-01-03
50336,PRAN POTATO CHIPS 75G,1,182.76,2025-01-03
50337,CLEAR SHAMPOO 180ML,1,506.97,2025-01-03
50338,MILO POWDER 400G,1,986.84,2025-01-03
50339,MUNCHEE SUPER CREAM CRACKER 120G,2,215.95,2025-01-03
50340,BAYGON MOSQUITO COILS 10S,3,451.32,2025-01-03
50341,ENERGIZER BATTERY AA 2S,3,886.43,2025-01-03
50342,COCONUT,4,515.48,2025-01-03
50343,KOTMALE CHEESE SLICES 10S,1,756.0,2025-01-03
50344,HEINZ TOMATO KETCHUP 300G,5,3555.87,2025-01-03
50345,ROZA PASTA SPAGHETTI 500G,3,1676.48,2025-01-03
50346,PRAN POTATO CHIPS 75G,2,365.8,2025-01-03
50347,VEG PUMPKIN 1KG,3,364.19,2025-01-03
50348,GILLETTE RAZOR,1,252.33,2025-01-03
50349,FRT BANANA (AMBUL) 1KG,3,746.47,2025-01-03
50350,CLEAR SHAMPOO 180ML,5,2514.55,2025-01-03
50351,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,5,2764.4,2025-01-03
50352,VEG POTATOES 1KG,2,763.58,2025-01-03
50353,ENERGIZER BATTERY AA 2S,1,300.93,2025-01-03
50354,LION SODA 1L,2,302.94,2025-01-03
50355,ENERGIZER BATTERY AA 2S,1,295.0,2025-01-03
50356,CHICKPEAS 1KG,1,611.48,2025-01-03
50357,RICH LIFE SET KIRI DAIRY DESSERT 450G,1,300.37,2025-01-03
50358,ENERGIZER BATTERY AA 2S,3,894.18,2025-01-03
50359,TESS CANNED MACKEREL 425G,1,686.94,2025-01-03
50360,SAMAPOSHA 200G,4,716.36,2025-01-03
50361,PAMPERS DIAPERS L 44S,3,13300.49,2025-01-03
50362,PRAN POTATO CHIPS 75G,3,546.02,2025-01-03
50363,WHITE RAW RICE 1KG,2,446.27,2025-01-03
50364,GILLETTE RAZOR,2,507.73,2025-01-03
50365,LAKMEE SOY CUTTLEFISH 60G,5,890.15,2025-01-03
50366,VEG TOMATOES 1KG,2,806.28,2025-01-03
50367,MALIBAN GOLD MARIE 200G,4,811.72,2025-01-03
50368,EDINBOROUGH CORDIAL 750ML,3,1354.03,2025-01-03
50369,COCONUT,5,643.69,2025-01-03
50370,FLORA TOILET PAPER ROLL 2PLY,2,199.29,2025-01-03
50371,VEG CUCUMBER 1KG,3,458.28,2025-01-03
50372,VEG CUCUMBER 1KG,1,152.78,2025-01-03
50373,LION SODA 1L,3,453.98,2025-01-03
50374,MEADOWLEA FAT SPREAD 500G,5,5415.89,2025-01-03
50375,ROYAL CASHEW NUTS 100G,3,2402.87,2025-01-03
50376,CURRY POWDER 100G,3,747.68,2025-01-03
50377,LAKMEE SOY CUTTLEFISH 60G,3,540.82,2025-01-03
50378,SIRILAK CHILLI POWDER 100G,1,274.67,2025-01-03
50379,VEG CUCUMBER 1KG,3,444.34,2025-01-03
50380,FRT PAPAYA 1KG,2,398.09,2025-01-03
50381,FRT PINEAPPLE,2,794.59,2025-01-03
50382,SALT 1KG,1,98.09,2025-01-03
50383,RIN DETERGENT POWDER 1KG,3,1441.33,2025-01-03
50384,BAKEWELL WHITE BREAD 450G,4,709.12,2025-01-03
50385,LION SODA 1L,1,149.97,2025-01-03
50386,TURMERIC POWDER 100G,2,689.18,2025-01-03
50387,FT AVOCADO 1KG,1,610.01,2025-01-03
50388,FT AVOCADO 1KG,1,598.51,2025-01-03
50389,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,3,1661.4,2025-01-03
50390,AQUAFINA BOTTLED WATER 5L,2,491.21,2025-01-03
50391,VEG GARLIC 1KG,2,2361.99,2025-01-03
50392,LITTLE LION CHOCOLATE CAKE SLICE,1,149.3,2025-01-03
50393,NIPPON TUNA IN OIL 185G,1,650.14,2025-01-03
50394,VEG GINGER 1KG,3,4583.03,2025-01-03
50395,DETTOL ANTISEPTIC LIQUID 500ML,5,3975.9,2025-01-03
50396,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,4,2156.08,2025-01-03
50397,COCA-COLA 1.5L,5,1504.0,2025-01-03
50398,VEG CABBAGE 1KG,1,180.88,2025-01-03
50399,FRESH MILK 1L,3,1211.75,2025-01-03
50400,VEG POTATOES 1KG,3,1145.77,2025-01-03
50401,ROZA PASTA SPAGHETTI 500G,1,559.1,2025-01-03
50402,JOHNSONS BABY POWDER 200G,3,1781.24,2025-01-03
50403,KIST PEANUT BUTTER 340G,3,2361.86,2025-01-03
50404,VEG CABBAGE 1KG,2,360.01,2025-01-03
50405,DETTOL ANTISEPTIC LIQUID 500ML,1,794.81,2025-01-03
50406,EDINBOROUGH CORDIAL 750ML,5,2207.08,2025-01-03
50407,MALIBAN GOLD MARIE 200G,3,603.24,2025-01-03
50408,MUNCHEE CHOCOLATE MARIE 90G,3,266.49,2025-01-03
50409,PRIMA INSTANT NOODLES CHICKEN,4,476.65,2025-01-03
50410,RIN DETERGENT POWDER 1KG,2,968.12,2025-01-03
50411,VEG LADIES FINGERS 1KG,1,200.53,2025-01-03
50412,GILLETTE RAZOR,5,1257.85,2025-01-03
50413,CHICKPEAS 1KG,2,1211.89,2025-01-03
