ds,product,units,amount
2024-01-04,Coconut,58,7657.67
2024-01-04,Coconut Oil 750ML,52,44244.15
2024-01-04,Coconut Sweets,52,10245.26
2024-01-04,Fresh Chicken 1KG,53,72815.04
2024-01-04,Fresh Milk 1L,46,18438.04
2024-01-04,Ice Cream 1L,58,44259.5
2024-01-04,Mango Jam 500G,58,38316.14
2024-01-04,Milo Powder 400G,48,48334.61
2024-01-04,Pineapple Whole,47,19049.39
2024-01-04,Plain Bread 450G,56,9944.66
2024-01-04,Plain Flour 1KG,41,15444.37
2024-01-04,Salt 1KG,42,4192.07
2024-01-04,Toilet Paper 2PLY,57,5718.81
2024-01-04,Tomatoes 1KG,52,20446.69
2024-01-04,White Rice 1KG,50,11003.44
2024-01-04,White Sugar 1KG,55,19466.29
2024-01-05,Bottled Water 5L,54,13600.49
2024-01-05,Butter 227G,42,50151.03
2024-01-05,Chocolate Wafers 85G,58,5788.51
2024-01-05,Coca-Cola 1.5L,40,11822.88
2024-01-05,Coconut,55,7085.66
2024-01-05,Coconut Oil 750ML,42,35322.24
2024-01-05,Coconut Sweets,46,9284.66
2024-01-05,Fresh Chicken 1KG,46,63849.87
2024-01-05,Fresh Milk 1L,54,22006.67
2024-01-05,Ice Cream 1L,40,30395.19
2024-01-05,Mango Jam 500G,55,35765.03
2024-01-05,Milo Powder 400G,48,48279.29
2024-01-05,Pineapple Whole,57,22694.88
2024-01-05,Plain Bread 450G,54,9680.0
2024-01-05,Plain Flour 1KG,46,17305.51
2024-01-05,Salt 1KG,40,3993.04
2024-01-05,Toilet Paper 2PLY,45,4486.93
2024-01-05,Tomatoes 1KG,44,17462.54
2024-01-05,White Rice 1KG,46,9953.47
2024-01-05,White Sugar 1KG,55,19536.7
2024-01-06,Bottled Water 5L,57,14049.43
2024-01-06,Butter 227G,64,77185.24
2024-01-06,Chocolate Wafers 85G,75,7377.06
2024-01-06,Coca-Cola 1.5L,72,21987.02
2024-01-06,Coconut,63,8193.82
2024-01-06,Coconut Oil 750ML,54,45334.39
2024-01-06,Coconut Sweets,74,14691.65
2024-01-06,Fresh Chicken 1KG,69,98037.36
2024-01-06,Fresh Milk 1L,61,24451.11
2024-01-06,Ice Cream 1L,62,47022.13
2024-01-06,Mango Jam 500G,62,40585.96
2024-01-06,Milo Powder 400G,62,61837.88
2024-01-06,Pineapple Whole,75,30544.93
2024-01-06,Plain Bread 450G,74,13215.72
2024-01-06,Plain Flour 1KG,71,26897.83
2024-01-06,Salt 1KG,56,5562.13
2024-01-06,Toilet Paper 2PLY,56,5507.97
2024-01-06,Tomatoes 1KG,64,25514.21
2024-01-06,White Rice 1KG,63,14062.02
2024-01-06,White Sugar 1KG,62,21659.21
2024-01-07,Bottled Water 5L,62,15213.36
2024-01-07,Butter 227G,75,88898.5
2024-01-07,Chocolate Wafers 85G,72,7267.85
2024-01-07,Coca-Cola 1.5L,56,16967.62
2024-01-07,Coconut,70,9267.78
2024-01-07,Coconut Oil 750ML,76,65882.49
2024-01-07,Coconut Sweets,64,12549.66
2024-01-07,Fresh Chicken 1KG,56,78630.18
2024-01-07,Fresh Milk 1L,53,21206.76
2024-01-07,Ice Cream 1L,68,51187.05
2024-01-07,Mango Jam 500G,75,48409.96
2024-01-07,Milo Powder 400G,59,58022.82
2024-01-07,Pineapple Whole,67,26979.48
2024-01-07,Plain Bread 450G,56,10005.74
2024-01-07,Plain Flour 1KG,74,28469.42
2024-01-07,Salt 1KG,55,5446.32
2024-01-07,Toilet Paper 2PLY,64,6493.17
2024-01-07,Tomatoes 1KG,62,24726.16
2024-01-07,White Rice 1KG,62,13584.62
2024-01-07,White Sugar 1KG,62,21307.66
2024-01-08,Bottled Water 5L,41,10299.76
2024-01-08,Butter 227G,48,58430.63
2024-01-08,Chocolate Wafers 85G,51,5182.64
2024-01-08,Coca-Cola 1.5L,58,17590.63
2024-01-08,Coconut,53,6856.03
2024-01-08,Coconut Oil 750ML,56,47160.81
2024-01-08,Coconut Sweets,40,7956.29
2024-01-08,Fresh Chicken 1KG,53,75190.51
2024-01-08,Fresh Milk 1L,50,19713.62
2024-01-08,Ice Cream 1L,58,43783.38
2024-01-08,Mango Jam 500G,53,34115.01
2024-01-08,Milo Powder 400G,43,42703.71
2024-01-08,Pineapple Whole,40,16259.39
2024-01-08,Plain Bread 450G,46,8147.51
2024-01-08,Plain Flour 1KG,54,20414.38
2024-01-08,Salt 1KG,46,4552.37
2024-01-08,Toilet Paper 2PLY,44,4423.93
2024-01-08,Tomatoes 1KG,50,20042.33
2024-01-08,White Rice 1KG,53,11501.71
2024-01-08,White Sugar 1KG,60,20593.89
2024-01-09,Bottled Water 5L,60,14779.32
2024-01-09,Butter 227G,48,56911.57
2024-01-09,Chocolate Wafers 85G,53,5198.36
2024-01-09,Coca-Cola 1.5L,55,16367.2
2024-01-09,Coconut,43,5656.15
2024-01-09,Coconut Oil 750ML,58,48821.84
2024-01-09,Coconut Sweets,56,11053.22
2024-01-09,Fresh Chicken 1KG,47,65422.17
2024-01-09,Fresh Milk 1L,56,22424.79
2024-01-09,Ice Cream 1L,56,41825.08
2024-01-09,Mango Jam 500G,55,36162.19
2024-01-09,Milo Powder 400G,59,58378.71
2024-01-09,Pineapple Whole,56,21982.97
2024-01-09,Plain Bread 450G,55,9910.96
2024-01-09,Plain Flour 1KG,40,15463.55
2024-01-09,Salt 1KG,42,4144.54
2024-01-09,Toilet Paper 2PLY,45,4430.85
2024-01-09,Tomatoes 1KG,50,20043.88
2024-01-09,White Rice 1KG,54,12054.78
2024-01-09,White Sugar 1KG,60,20757.09
2024-01-10,Bottled Water 5L,47,11810.54
2024-01-10,Butter 227G,49,58442.9
2024-01-10,Chocolate Wafers 85G,49,4859.03
2024-01-10,Coca-Cola 1.5L,54,15900.21
2024-01-10,Coconut,50,6501.87
2024-01-10,Coconut Oil 750ML,49,42405.92
2024-01-10,Coconut Sweets,53,10539.33
2024-01-10,Fresh Chicken 1KG,46,64810.05
2024-01-10,Fresh Milk 1L,48,19359.26
2024-01-10,Ice Cream 1L,52,39298.97
2024-01-10,Mango Jam 500G,55,35050.72
2024-01-10,Milo Powder 400G,44,44511.64
2024-01-10,Pineapple Whole,44,17758.96
2024-01-10,Plain Bread 450G,54,9673.31
2024-01-10,Plain Flour 1KG,58,22204.01
2024-01-10,Salt 1KG,59,5833.29
2024-01-10,Toilet Paper 2PLY,59,5799.12
2024-01-10,Tomatoes 1KG,54,21353.51
2024-01-10,White Rice 1KG,47,10273.35
2024-01-10,White Sugar 1KG,48,16865.39
2024-01-11,Bottled Water 5L,48,12216.35
2024-01-11,Butter 227G,54,64739.43
2024-01-11,Chocolate Wafers 85G,47,4768.08
2024-01-11,Coca-Cola 1.5L,44,13031.82
2024-01-11,Coconut,60,7659.07
2024-01-11,Coconut Oil 750ML,43,36925.59
2024-01-11,Coconut Sweets,55,10842.24
2024-01-11,Fresh Chicken 1KG,50,68752.23
2024-01-11,Fresh Milk 1L,43,17276.81
2024-01-11,Ice Cream 1L,41,31348.36
2024-01-11,Mango Jam 500G,51,32634.7
2024-01-11,Milo Powder 400G,53,52038.19
2024-01-11,Pineapple Whole,40,16272.88
2024-01-11,Plain Bread 450G,47,8509.33
2024-01-11,Plain Flour 1KG,59,22293.25
2024-01-11,Salt 1KG,54,5501.96
2024-01-11,Toilet Paper 2PLY,47,4706.7
2024-01-11,Tomatoes 1KG,58,23474.42
2024-01-11,White Rice 1KG,51,11021.17
2024-01-11,White Sugar 1KG,54,19124.9
2024-01-12,Bottled Water 5L,57,14472.94
2024-01-12,Butter 227G,48,57797.94
2024-01-12,Chocolate Wafers 85G,58,5853.23
2024-01-12,Coca-Cola 1.5L,43,12920.73
2024-01-12,Coconut,50,6410.99
2024-01-12,Coconut Oil 750ML,52,44110.98
2024-01-12,Coconut Sweets,44,8649.04
2024-01-12,Fresh Chicken 1KG,56,78997.86
2024-01-12,Fresh Milk 1L,46,18069.07
2024-01-12,Ice Cream 1L,44,32596.3
2024-01-12,Mango Jam 500G,54,35118.62
2024-01-12,Milo Powder 400G,40,40608.24
2024-01-12,Pineapple Whole,46,18537.55
2024-01-12,Plain Bread 450G,51,9241.08
2024-01-12,Plain Flour 1KG,58,22003.36
2024-01-12,Salt 1KG,51,5024.12
2024-01-12,Toilet Paper 2PLY,57,5774.75
2024-01-12,Tomatoes 1KG,48,19243.51
2024-01-12,White Rice 1KG,48,10436.76
2024-01-12,White Sugar 1KG,48,16573.18
2024-01-13,Bottled Water 5L,60,14919.13
2024-01-13,Butter 227G,61,73654.5
2024-01-13,Chocolate Wafers 85G,59,5983.77
2024-01-13,Coca-Cola 1.5L,63,18871.75
2024-01-13,Coconut,53,7008.99
2024-01-13,Coconut Oil 750ML,57,48215.66
2024-01-13,Coconut Sweets,61,12184.91
2024-01-13,Fresh Chicken 1KG,67,94176.7
2024-01-13,Fresh Milk 1L,55,21579.07
2024-01-13,Ice Cream 1L,52,39650.8
2024-01-13,Mango Jam 500G,67,42685.22
2024-01-13,Milo Powder 400G,71,70692.01
2024-01-13,Pineapple Whole,67,26969.75
2024-01-13,Plain Bread 450G,63,11487.18
2024-01-13,Plain Flour 1KG,60,22962.62
2024-01-13,Salt 1KG,65,6487.77
2024-01-13,Toilet Paper 2PLY,71,7112.39
2024-01-13,Tomatoes 1KG,60,24280.95
2024-01-13,White Rice 1KG,52,11477.27
2024-01-13,White Sugar 1KG,72,25184.48
2024-01-14,Bottled Water 5L,53,13018.21
2024-01-14,Butter 227G,73,89295.32
2024-01-14,Chocolate Wafers 85G,63,6391.71
2024-01-14,Coca-Cola 1.5L,54,16400.15
2024-01-14,Coconut,64,8345.19
2024-01-14,Coconut Oil 750ML,63,54556.62
2024-01-14,Coconut Sweets,55,11044.17
2024-01-14,Fresh Chicken 1KG,75,105965.33
2024-01-14,Fresh Milk 1L,62,24711.72
2024-01-14,Ice Cream 1L,68,50959.16
2024-01-14,Mango Jam 500G,60,39231.58
2024-01-14,Milo Powder 400G,60,61146.27
2024-01-14,Pineapple Whole,76,30818.9
2024-01-14,Plain Bread 450G,61,11050.9
2024-01-14,Plain Flour 1KG,73,27699.16
2024-01-14,Salt 1KG,63,6296.57
2024-01-14,Toilet Paper 2PLY,66,6572.23
2024-01-14,Tomatoes 1KG,65,26082.7
2024-01-14,White Rice 1KG,73,15860.73
2024-01-14,White Sugar 1KG,72,25325.15
2024-01-15,Bottled Water 5L,49,12012.54
2024-01-15,Butter 227G,55,66376.2
2024-01-15,Chocolate Wafers 85G,41,4050.08
2024-01-15,Coca-Cola 1.5L,43,13114.41
2024-01-15,Coconut,58,7446.73
2024-01-15,Coconut Oil 750ML,58,48404.8
2024-01-15,Coconut Sweets,49,9684.19
2024-01-15,Fresh Chicken 1KG,42,57721.08
2024-01-15,Fresh Milk 1L,55,21577.5
2024-01-15,Ice Cream 1L,51,38133.84
2024-01-15,Mango Jam 500G,40,25584.93
2024-01-15,Milo Powder 400G,47,47132.82
2024-01-15,Pineapple Whole,44,17707.16
2024-01-15,Plain Bread 450G,54,9850.56
2024-01-15,Plain Flour 1KG,49,18622.86
2024-01-15,Salt 1KG,45,4446.41
2024-01-15,Toilet Paper 2PLY,53,5382.46
2024-01-15,Tomatoes 1KG,58,23193.46
2024-01-15,White Rice 1KG,53,11478.5
2024-01-15,White Sugar 1KG,49,17310.38
2024-01-16,Bottled Water 5L,44,11105.03
2024-01-16,Butter 227G,58,70021.05
2024-01-16,Chocolate Wafers 85G,55,5548.34
2024-01-16,Coca-Cola 1.5L,40,11948.49
2024-01-16,Coconut,42,5403.47
2024-01-16,Coconut Oil 750ML,52,44734.68
2024-01-16,Coconut Sweets,52,10532.2
2024-01-16,Fresh Chicken 1KG,54,74402.63
2024-01-16,Fresh Milk 1L,55,22269.54
2024-01-16,Ice Cream 1L,49,36397.5
2024-01-16,Mango Jam 500G,56,36840.07
2024-01-16,Milo Powder 400G,41,41033.46
2024-01-16,Pineapple Whole,54,21488.06
2024-01-16,Plain Bread 450G,41,7426.19
2024-01-16,Plain Flour 1KG,58,22321.19
2024-01-16,Salt 1KG,43,4321.52
2024-01-16,Toilet Paper 2PLY,47,4696.49
2024-01-16,Tomatoes 1KG,58,23484.31
2024-01-16,White Rice 1KG,43,9325.61
2024-01-16,White Sugar 1KG,45,15800.02
2024-01-17,Bottled Water 5L,46,11370.29
2024-01-17,Butter 227G,47,56443.04
2024-01-17,Chocolate Wafers 85G,50,5061.52
2024-01-17,Coca-Cola 1.5L,52,15905.27
2024-01-17,Coconut,55,7034.84
2024-01-17,Coconut Oil 750ML,49,41891.93
2024-01-17,Coconut Sweets,52,10430.4
2024-01-17,Fresh Chicken 1KG,59,82931.44
2024-01-17,Fresh Milk 1L,53,21100.5
2024-01-17,Ice Cream 1L,54,41197.75
2024-01-17,Mango Jam 500G,43,27582.18
2024-01-17,Milo Powder 400G,50,49853.63
2024-01-17,Pineapple Whole,42,17093.36
2024-01-17,Plain Bread 450G,49,8926.05
2024-01-17,Plain Flour 1KG,43,16433.9
2024-01-17,Salt 1KG,43,4318.03
2024-01-17,Toilet Paper 2PLY,52,5149.9
2024-01-17,Tomatoes 1KG,41,16164.09
2024-01-17,White Rice 1KG,44,9577.67
2024-01-17,White Sugar 1KG,47,16165.35
2024-01-18,Bottled Water 5L,53,13444.81
2024-01-18,Butter 227G,50,59646.2
2024-01-18,Chocolate Wafers 85G,59,5886.4
2024-01-18,Coca-Cola 1.5L,40,11936.29
2024-01-18,Coconut,59,7688.27
2024-01-18,Coconut Oil 750ML,50,43044.88
2024-01-18,Coconut Sweets,59,11803.41
2024-01-18,Fresh Chicken 1KG,56,79955.94
2024-01-18,Fresh Milk 1L,55,21745.02
2024-01-18,Ice Cream 1L,47,35676.93
2024-01-18,Mango Jam 500G,41,26744.34
2024-01-18,Milo Powder 400G,58,58649.83
2024-01-18,Pineapple Whole,58,23206.2
2024-01-18,Plain Bread 450G,54,9910.3
2024-01-18,Plain Flour 1KG,53,20421.81
2024-01-18,Salt 1KG,57,5730.6
2024-01-18,Toilet Paper 2PLY,40,3937.66
2024-01-18,Tomatoes 1KG,44,17810.89
2024-01-18,White Rice 1KG,46,9921.03
2024-01-18,White Sugar 1KG,41,14110.33
2024-01-19,Bottled Water 5L,59,15013.8
2024-01-19,Butter 227G,44,52218.83
2024-01-19,Chocolate Wafers 85G,48,4812.43
2024-01-19,Coca-Cola 1.5L,55,16392.6
2024-01-19,Coconut,57,7352.59
2024-01-19,Coconut Oil 750ML,52,44483.62
2024-01-19,Coconut Sweets,46,9034.74
2024-01-19,Fresh Chicken 1KG,40,56130.2
2024-01-19,Fresh Milk 1L,59,23552.42
2024-01-19,Ice Cream 1L,44,33593.51
2024-01-19,Mango Jam 500G,53,34656.46
2024-01-19,Milo Powder 400G,52,52043.98
2024-01-19,Pineapple Whole,44,17478.88
2024-01-19,Plain Bread 450G,55,9778.05
2024-01-19,Plain Flour 1KG,46,17681.13
2024-01-19,Salt 1KG,48,4761.07
2024-01-19,Toilet Paper 2PLY,43,4342.65
2024-01-19,Tomatoes 1KG,40,15977.23
2024-01-19,White Rice 1KG,50,11071.99
2024-01-19,White Sugar 1KG,41,14366.95
2024-01-20,Bottled Water 5L,75,18608.38
2024-01-20,Butter 227G,59,71079.24
2024-01-20,Chocolate Wafers 85G,63,6365.5
2024-01-20,Coca-Cola 1.5L,67,20242.14
2024-01-20,Coconut,59,7610.9
2024-01-20,Coconut Oil 750ML,73,61855.28
2024-01-20,Coconut Sweets,59,12013.63
2024-01-20,Fresh Chicken 1KG,62,87300.5
2024-01-20,Fresh Milk 1L,78,31485.26
2024-01-20,Ice Cream 1L,59,44648.39
2024-01-20,Mango Jam 500G,71,46625.52
2024-01-20,Milo Powder 400G,60,59734.39
2024-01-20,Pineapple Whole,67,26574.84
2024-01-20,Plain Bread 450G,68,12120.59
2024-01-20,Plain Flour 1KG,75,28502.88
2024-01-20,Salt 1KG,52,5212.62
2024-01-20,Toilet Paper 2PLY,63,6257.78
2024-01-20,Tomatoes 1KG,75,29855.1
2024-01-20,White Rice 1KG,67,14779.2
2024-01-20,White Sugar 1KG,61,21149.14
2024-01-21,Bottled Water 5L,77,19574.09
2024-01-21,Butter 227G,74,88961.56
2024-01-21,Chocolate Wafers 85G,72,7094.85
2024-01-21,Coca-Cola 1.5L,51,15564.84
2024-01-21,Coconut,78,10010.53
2024-01-21,Coconut Oil 750ML,70,59963.33
2024-01-21,Coconut Sweets,60,12067.99
2024-01-21,Fresh Chicken 1KG,56,79820.37
2024-01-21,Fresh Milk 1L,69,27473.82
2024-01-21,Ice Cream 1L,76,55981.36
2024-01-21,Mango Jam 500G,57,37260.44
2024-01-21,Milo Powder 400G,73,73945.8
2024-01-21,Pineapple Whole,73,29392.58
2024-01-21,Plain Bread 450G,70,12819.67
2024-01-21,Plain Flour 1KG,57,21944.29
2024-01-21,Salt 1KG,77,7707.1
2024-01-21,Toilet Paper 2PLY,58,5839.32
2024-01-21,Tomatoes 1KG,57,23014.47
2024-01-21,White Rice 1KG,67,14790.37
2024-01-21,White Sugar 1KG,69,24384.89
2024-01-22,Bottled Water 5L,46,11626.62
2024-01-22,Butter 227G,58,68481.08
2024-01-22,Chocolate Wafers 85G,45,4527.08
2024-01-22,Coca-Cola 1.5L,50,14978.91
2024-01-22,Coconut,45,5795.55
2024-01-22,Coconut Oil 750ML,47,39689.85
2024-01-22,Coconut Sweets,54,11004.35
2024-01-22,Fresh Chicken 1KG,48,66890.9
2024-01-22,Fresh Milk 1L,42,17043.58
2024-01-22,Ice Cream 1L,56,41738.8
2024-01-22,Mango Jam 500G,47,30025.18
2024-01-22,Milo Powder 400G,49,48341.14
2024-01-22,Pineapple Whole,55,21690.21
2024-01-22,Plain Bread 450G,58,10605.08
2024-01-22,Plain Flour 1KG,47,18056.26
2024-01-22,Salt 1KG,57,5659.89
2024-01-22,Toilet Paper 2PLY,57,5594.91
2024-01-22,Tomatoes 1KG,55,22399.8
2024-01-22,White Rice 1KG,59,12967.76
2024-01-22,White Sugar 1KG,42,14630.55
2024-01-23,Bottled Water 5L,46,11715.8
2024-01-23,Butter 227G,51,61752.17
2024-01-23,Chocolate Wafers 85G,50,5071.18
2024-01-23,Coca-Cola 1.5L,45,13548.28
2024-01-23,Coconut,48,6248.46
2024-01-23,Coconut Oil 750ML,43,35851.54
2024-01-23,Coconut Sweets,49,9688.2
2024-01-23,Fresh Chicken 1KG,54,75936.29
2024-01-23,Fresh Milk 1L,43,17310.13
2024-01-23,Ice Cream 1L,54,40440.83
2024-01-23,Mango Jam 500G,53,33968.45
2024-01-23,Milo Powder 400G,56,56786.81
2024-01-23,Pineapple Whole,41,16699.12
2024-01-23,Plain Bread 450G,43,7880.32
2024-01-23,Plain Flour 1KG,48,18054.87
2024-01-23,Salt 1KG,41,4032.49
2024-01-23,Toilet Paper 2PLY,59,5861.71
2024-01-23,Tomatoes 1KG,57,23156.9
2024-01-23,White Rice 1KG,52,11300.55
2024-01-23,White Sugar 1KG,48,16789.1
2024-01-24,Bottled Water 5L,49,12417.54
2024-01-24,Butter 227G,45,54102.05
2024-01-24,Chocolate Wafers 85G,44,4357.91
2024-01-24,Coca-Cola 1.5L,40,11830.13
2024-01-24,Coconut,50,6552.53
2024-01-24,Coconut Oil 750ML,57,47527.88
2024-01-24,Coconut Sweets,59,11998.46
2024-01-24,Fresh Chicken 1KG,51,72794.58
2024-01-24,Fresh Milk 1L,51,20011.99
2024-01-24,Ice Cream 1L,43,31763.59
2024-01-24,Mango Jam 500G,49,31829.46
2024-01-24,Milo Powder 400G,50,49962.24
2024-01-24,Pineapple Whole,43,17404.93
2024-01-24,Plain Bread 450G,54,9850.49
2024-01-24,Plain Flour 1KG,51,19748.12
2024-01-24,Salt 1KG,58,5818.91
2024-01-24,Toilet Paper 2PLY,57,5639.99
2024-01-24,Tomatoes 1KG,54,21463.52
2024-01-24,White Rice 1KG,45,9770.35
2024-01-24,White Sugar 1KG,40,14167.66
2024-01-25,Bottled Water 5L,44,10944.29
2024-01-25,Butter 227G,49,59430.79
2024-01-25,Chocolate Wafers 85G,41,4118.21
2024-01-25,Coca-Cola 1.5L,42,12742.55
2024-01-25,Coconut,48,6192.93
2024-01-25,Coconut Oil 750ML,41,34459.33
2024-01-25,Coconut Sweets,90,18043.66
2024-01-25,Fresh Milk 1L,49,19625.35
2024-01-25,Ice Cream 1L,90,68834.86
2024-01-25,Mango Jam 500G,56,36837.02
2024-01-25,Milo Powder 400G,51,50954.07
2024-01-25,Pineapple Whole,71,28090.85
2024-01-25,Plain Bread 450G,49,8849.27
2024-01-25,Plain Flour 1KG,42,16259.12
2024-01-25,Salt 1KG,55,5527.31
2024-01-25,Toilet Paper 2PLY,54,5471.08
2024-01-25,Tomatoes 1KG,58,23137.61
2024-01-25,White Rice 1KG,55,12175.46
2024-01-25,White Sugar 1KG,57,19973.01
2024-01-26,Bottled Water 5L,58,14311.22
2024-01-26,Butter 227G,44,52332.81
2024-01-26,Chocolate Wafers 85G,58,5719.91
2024-01-26,Coca-Cola 1.5L,41,12275.05
2024-01-26,Coconut,53,6910.5
2024-01-26,Coconut Oil 750ML,44,37894.25
2024-01-26,Coconut Sweets,54,10993.87
2024-01-26,Fresh Chicken 1KG,52,71908.03
2024-01-26,Fresh Milk 1L,55,21846.87
2024-01-26,Ice Cream 1L,59,44960.78
2024-01-26,Mango Jam 500G,45,29800.68
2024-01-26,Milo Powder 400G,52,51549.22
2024-01-26,Pineapple Whole,50,19766.05
2024-01-26,Plain Bread 450G,57,10076.07
2024-01-26,Plain Flour 1KG,45,17119.75
2024-01-26,Salt 1KG,57,5799.23
2024-01-26,Toilet Paper 2PLY,41,4018.21
2024-01-26,Tomatoes 1KG,60,24129.43
2024-01-26,White Rice 1KG,51,11407.39
2024-01-26,White Sugar 1KG,56,19450.01
2024-01-27,Bottled Water 5L,62,15610.57
2024-01-27,Butter 227G,77,92064.9
2024-01-27,Chocolate Wafers 85G,56,5627.86
2024-01-27,Coca-Cola 1.5L,60,18290.41
2024-01-27,Coconut,54,7117.27
2024-01-27,Coconut Oil 750ML,71,59150.08
2024-01-27,Coconut Sweets,66,13044.15
2024-01-27,Fresh Chicken 1KG,59,82521.58
2024-01-27,Fresh Milk 1L,66,26081.82
2024-01-27,Ice Cream 1L,55,41322.99
2024-01-27,Mango Jam 500G,67,42899.94
2024-01-27,Milo Powder 400G,73,73287.89
2024-01-27,Pineapple Whole,60,23789.59
2024-01-27,Plain Bread 450G,61,11064.84
2024-01-27,Plain Flour 1KG,76,28602.59
2024-01-27,Salt 1KG,73,7390.23
2024-01-27,Toilet Paper 2PLY,59,5939.33
2024-01-27,Tomatoes 1KG,78,31592.74
2024-01-27,White Rice 1KG,53,11555.65
2024-01-27,White Sugar 1KG,59,21046.97
2024-01-28,Bottled Water 5L,61,15390.92
2024-01-28,Butter 227G,55,65434.11
2024-01-28,Chocolate Wafers 85G,64,6364.3
2024-01-28,Coca-Cola 1.5L,57,17109.93
2024-01-28,Coconut,60,7739.09
2024-01-28,Coconut Oil 750ML,74,63539.26
2024-01-28,Coconut Sweets,74,14671.52
2024-01-28,Fresh Chicken 1KG,60,83797.59
2024-01-28,Fresh Milk 1L,54,21341.8
2024-01-28,Ice Cream 1L,67,50763.75
2024-01-28,Mango Jam 500G,55,35356.58
2024-01-28,Milo Powder 400G,56,56657.24
2024-01-28,Pineapple Whole,62,24650.61
2024-01-28,Plain Bread 450G,66,11845.15
2024-01-28,Plain Flour 1KG,75,28282.6
2024-01-28,Salt 1KG,59,5847.15
2024-01-28,Toilet Paper 2PLY,60,6034.85
2024-01-28,Tomatoes 1KG,72,29077.38
2024-01-28,White Rice 1KG,71,15495.04
2024-01-28,White Sugar 1KG,71,25339.59
2024-01-29,Bottled Water 5L,45,11270.09
2024-01-29,Butter 227G,42,50682.36
2024-01-29,Chocolate Wafers 85G,46,4661.11
2024-01-29,Coca-Cola 1.5L,42,12747.63
2024-01-29,Coconut,43,5566.01
2024-01-29,Coconut Oil 750ML,46,38623.77
2024-01-29,Coconut Sweets,52,10477.83
2024-01-29,Fresh Chicken 1KG,42,59972.6
2024-01-29,Fresh Milk 1L,59,23494.16
2024-01-29,Ice Cream 1L,54,41180.76
2024-01-29,Mango Jam 500G,55,36298.45
2024-01-29,Milo Powder 400G,43,42144.91
2024-01-29,Pineapple Whole,50,19877.38
2024-01-29,Plain Bread 450G,45,8204.7
2024-01-29,Plain Flour 1KG,47,17832.75
2024-01-29,Salt 1KG,54,5325.83
2024-01-29,Toilet Paper 2PLY,53,5342.61
2024-01-29,Tomatoes 1KG,58,22753.95
