ds,y
2024-08-11,200925.65
2024-08-12,232110.14
2024-08-13,292730.57
2024-08-14,288481.42
2024-08-15,179630.91
2024-08-16,301515.59
2024-08-17,166137.09
2024-08-18,177926.84
2024-08-19,104935.06
2024-08-20,183243.76
2024-08-21,211918.4
2024-08-22,242700.01
2024-08-23,291358.11
2024-08-24,223176.95
2024-08-25,184358.64
2024-08-26,236877.56
2024-08-27,205431.15
2024-08-28,292643.63
2024-08-29,258735.93
2024-08-30,177442.65
2024-08-31,259706.09
2024-09-01,246170.81
2024-09-02,213864.26
2024-09-03,240539.59
2024-09-04,263929.04
2024-09-05,235668.47
2024-09-06,258584.02
2024-09-07,184305.68
2024-09-08,314398.24
2024-09-09,215471.63
2024-09-10,222073.9
2024-09-11,153244.27
2024-09-12,210852.17
2024-09-13,210631.69
2024-09-14,180955.84
2024-09-15,240141.05
2024-09-16,248098.96
2024-09-17,95046.62000000001
2024-09-18,245711.15
2024-09-19,171048.52
2024-09-20,170277.26
2024-09-21,176849.24
2024-09-22,196987.54
2024-09-23,187295.16
2024-09-24,245357.23
2024-09-25,321142.25
2024-09-26,249029.31
2024-09-27,244812.5
2024-09-28,135699.21
2024-09-29,309622.75
2024-09-30,211455.59
2024-10-01,148845.67
2024-10-02,176741.87
2024-10-03,286015.44
2024-10-04,258180.96
2024-10-05,314844.3
2024-10-06,223871.76
2024-10-07,271534.52
2024-10-08,237616.84
2024-10-09,255919.32
2024-10-10,242283.2
2024-10-11,288700.35
2024-10-12,129450.83
2024-10-13,215389.47
2024-10-14,323816.75
2024-10-15,276673.29
2024-10-16,235089.94
2024-10-17,114832.19
2024-10-18,235644.92
2024-10-19,283827.72
2024-10-20,262782.09
2024-10-21,173730.09
2024-10-22,238886.22
2024-10-23,260440.38
2024-10-24,223694.21
2024-10-25,249184.56
2024-10-26,353784.55
2024-10-27,365948.21
2024-10-28,454398.13
2024-10-29,421663.81
2024-10-30,459638.31
2024-10-31,510822.29
2024-11-01,245898.16
2024-11-02,283658.01
2024-11-03,263595.02
2024-11-04,167863.89
2024-11-05,250219.25
2024-11-06,227117.07
2024-11-07,212912.09
2024-11-08,225624.56
2024-11-09,229709.72
2024-11-10,225231.21
2024-11-11,277451.39
2024-11-12,175102.61
2024-11-13,261702.1
2024-11-14,324922.02
2024-11-15,127376.9
2024-11-16,225361.76
2024-11-17,269590.83
2024-11-18,216206.28
2024-11-19,229756.15
2024-11-20,161721.21
2024-11-21,322708.93
2024-11-22,194801.48
2024-11-23,257200.06
2024-11-24,195400.82
2024-11-25,213221.13
2024-11-26,261385.07
2024-11-27,235328.37
2024-11-28,252565.0
2024-11-29,172906.04
2024-11-30,286991.44
2024-12-01,202173.7
2024-12-02,243534.97999999998
2024-12-03,239912.41
2024-12-04,211838.04
2024-12-05,202298.11
2024-12-06,251850.79
2024-12-07,191820.06
2024-12-08,205770.83
2024-12-09,215030.23
2024-12-10,170256.37
2024-12-11,219034.09
2024-12-12,189511.73
2024-12-13,223029.19
2024-12-14,123818.66
2024-12-15,204531.65
2024-12-16,288857.92
2024-12-17,260516.1
2024-12-18,205911.8
2024-12-19,338715.68
2024-12-20,324022.06
2024-12-21,330291.77
2024-12-22,281685.44
2024-12-23,563003.46
2024-12-24,668136.43
2024-12-25,913984.1
2024-12-26,168893.11
2024-12-27,270015.04
2024-12-28,265794.32
2024-12-29,156308.65
2024-12-30,247524.19
2024-12-31,171757.95
2025-01-01,162714.38
2025-01-02,165089.68
2025-01-03,185123.26
2025-01-04,184644.66
2025-01-05,250847.0
2025-01-06,155213.03
2025-01-07,143114.44
2025-01-08,250553.17
2025-01-09,265923.67
2025-01-10,220951.9
2025-01-11,221914.15
2025-01-12,221136.43
2025-01-13,186234.93
2025-01-14,349208.76
2025-01-15,193041.4
2025-01-16,215799.73
2025-01-17,239910.74
2025-01-18,244840.11
2025-01-19,160695.04
2025-01-20,364126.83
2025-01-21,194917.51
2025-01-22,243254.15
2025-01-23,235363.49
2025-01-24,231457.8
2025-01-25,236598.34
2025-01-26,216222.37
2025-01-27,275289.27
2025-01-28,163198.58
2025-01-29,174942.76
2025-01-30,146294.0
2025-01-31,235515.47
2025-02-01,255274.38999999998
2025-02-02,242054.25
2025-02-03,288142.68
2025-02-04,277555.56
2025-02-05,266756.13
2025-02-06,227328.99
2025-02-07,192975.83
2025-02-08,171247.45
2025-02-09,179334.77
2025-02-10,278402.27
2025-02-11,182545.38
2025-02-12,199447.02
2025-02-13,175548.46
2025-02-14,289018.93
2025-02-15,219061.61
2025-02-16,282215.5
2025-02-17,218843.41999999998
2025-02-18,142818.42
2025-02-19,260678.81
2025-02-20,258462.37
2025-02-21,225813.14
2025-02-22,217630.95
2025-02-23,237494.38
2025-02-24,197967.54
2025-02-25,215720.24
2025-02-26,174744.1
2025-02-27,224924.88
2025-02-28,238178.09
2025-03-01,261053.85
2025-03-02,281731.66000000003
2025-03-03,274299.9
2025-03-04,149903.48
2025-03-05,297187.04
2025-03-06,184602.04
2025-03-07,241838.96
2025-03-08,212378.21
2025-03-09,166577.13
2025-03-10,272225.3
2025-03-11,200073.09
2025-03-12,237027.6
2025-03-13,218486.07
2025-03-14,243322.25
2025-03-15,172853.55
2025-03-16,241505.12
2025-03-17,210331.54
2025-03-18,161503.4
2025-03-19,248717.96
2025-03-20,210880.89
2025-03-21,251410.13
2025-03-22,203764.73
2025-03-23,232536.75
2025-03-24,160267.36
2025-03-25,278552.88
2025-03-26,199521.9
2025-03-27,227456.8
2025-03-28,165873.52
2025-03-29,243811.69
2025-03-30,217454.57
2025-03-31,218314.51
2025-04-01,258003.04
2025-04-02,137388.04
2025-04-03,249117.59
2025-04-04,167566.72
2025-04-05,213351.76
2025-04-06,203346.29
2025-04-07,205546.92
2025-04-08,274338.09
2025-04-09,226163.84
2025-04-10,216326.02
2025-04-11,275927.36
2025-04-12,214860.91
2025-04-13,210055.09
2025-04-14,285040.08
2025-04-15,180918.47
2025-04-16,159727.15
2025-04-17,215903.38
2025-04-18,190468.64
2025-04-19,182383.49
2025-04-20,183642.88
2025-04-21,143874.27
2025-04-22,298919.08
2025-04-23,222414.25
2025-04-24,249555.12
2025-04-25,192169.41
2025-04-26,291828.89
2025-04-27,198525.66
2025-04-28,262352.6
2025-04-29,284093.86
2025-04-30,297377.34
2025-05-01,214902.16
2025-05-02,224369.46
2025-05-03,284042.37
2025-05-04,225923.78
2025-05-05,257661.2
2025-05-06,285988.97000000003
2025-05-07,156157.41
2025-05-08,196488.07
2025-05-09,229672.36
2025-05-10,236831.78
2025-05-11,135124.91
2025-05-12,156210.39
2025-05-13,245089.69999999998
2025-05-14,260018.58
2025-05-15,229420.18
2025-05-16,210879.59
2025-05-17,194600.48
2025-05-18,211370.88999999998
2025-05-19,211820.31
2025-05-20,207909.58
2025-05-21,190026.8
2025-05-22,262407.42
2025-05-23,259485.29
2025-05-24,305858.44
2025-05-25,154172.97
2025-05-26,272071.52
2025-05-27,185123.79
2025-05-28,291578.56
2025-05-29,236287.93
2025-05-30,230282.62
2025-05-31,175948.87
2025-06-01,193351.44
2025-06-02,285785.85
2025-06-03,278130.5
2025-06-04,257515.56
2025-06-05,227884.31
2025-06-06,284636.1
2025-06-07,278726.27
2025-06-08,248408.71
2025-06-09,196005.47
2025-06-10,145457.89
2025-06-11,215038.49
2025-06-12,195895.65
2025-06-13,296192.79
2025-06-14,323465.94
2025-06-15,156956.16
2025-06-16,298642.57
2025-06-17,179264.35
2025-06-18,196120.13
2025-06-19,271489.28
2025-06-20,200558.66
2025-06-21,185915.03
2025-06-22,255825.68
2025-06-23,202496.99
2025-06-24,205044.28
2025-06-25,237859.82
2025-06-26,225411.5
2025-06-27,155798.36
2025-06-28,148351.15
2025-06-29,236713.88999999998
2025-06-30,205943.16
2025-07-01,292919.57
2025-07-02,181800.98
2025-07-03,236933.76
2025-07-04,257345.58
2025-07-05,144717.53
2025-07-06,235531.84
2025-07-07,202850.92
2025-07-08,243495.46
2025-07-09,247714.95
2025-07-10,185813.16
2025-07-11,243336.63
2025-07-12,172788.48
2025-07-13,230878.11
2025-07-14,238349.41
2025-07-15,211246.11000000002
2025-07-16,176946.13999999998
2025-07-17,244549.22
2025-07-18,264569.15
2025-07-19,226850.82
2025-07-20,276816.52999999997
2025-07-21,205051.03
2025-07-22,184829.24
2025-07-23,234618.22
2025-07-24,245238.52
2025-07-25,169160.77
2025-07-26,278194.5
2025-07-27,294179.6
2025-07-28,214557.56
2025-07-29,244716.96
2025-07-30,174928.67
2025-07-31,172409.14
2025-08-01,271533.42
2025-08-02,248388.9
2025-08-03,264088.14
2025-08-04,214012.38
2025-08-05,179158.73
2025-08-06,227779.45
2025-08-07,196188.1
2025-08-08,168842.5
2025-08-09,269053.69
2025-08-10,209037.19
2025-08-11,155767.79
2025-08-12,232446.95
2025-08-13,229029.12
2025-08-14,165096.76
2025-08-15,184111.11000000002
2025-08-16,221345.54
2025-08-17,186767.09
2025-08-18,193505.66
2025-08-19,282658.87
2025-08-20,243452.28
2025-08-21,169167.33
2025-08-22,208191.95
2025-08-23,271562.73
2025-08-24,153453.99
2025-08-25,246427.53
2025-08-26,266917.13
2025-08-27,285552.93
2025-08-28,224102.86000000002
2025-08-29,217227.33
2025-08-30,253772.52
2025-08-31,177835.37
2025-09-01,192997.88
2025-09-02,245082.98
2025-09-03,178729.13999999998
2025-09-04,133041.43
2025-09-05,313673.23
2025-09-06,154137.65
2025-09-07,240121.07
2025-09-08,181153.56
2025-09-09,251300.74
2025-09-10,184762.77
2025-09-11,249416.71
2025-09-12,208864.81
2025-09-13,248759.98
2025-09-14,181551.51
2025-09-15,260265.74
2025-09-16,256703.21
2025-09-17,201601.94
2025-09-18,186303.01
2025-09-19,217105.88
2025-09-20,235388.11
2025-09-21,183597.75
2025-09-22,238120.12
2025-09-23,309446.76
2025-09-24,284176.06
2025-09-25,253763.78
2025-09-26,204907.34
2025-09-27,207174.73
2025-09-28,256889.53
2025-09-29,233646.08
2025-09-30,148985.79
2025-10-01,279388.48
2025-10-02,201510.06
2025-10-03,313454.31
2025-10-04,232233.34
2025-10-05,313969.41
2025-10-06,241522.96
2025-10-07,164458.33000000002
2025-10-08,248542.41
2025-10-09,285661.09
2025-10-10,197229.91
2025-10-11,237950.38
2025-10-12,273824.65
2025-10-13,273296.71
2025-10-14,267140.2
2025-10-15,275208.98
2025-10-16,268797.19
2025-10-17,222229.89
2025-10-18,259332.02
2025-10-19,267411.65
2025-10-20,257851.13
2025-10-21,211370.93
2025-10-22,168149.12
2025-10-23,234756.56
2025-10-24,321601.04
2025-10-25,189576.45
2025-10-26,250358.17
2025-10-27,190740.39
2025-10-28,302190.87
2025-10-29,198537.11
2025-10-30,167267.19
2025-10-31,173322.25
2025-11-01,167702.74
2025-11-02,182317.49
2025-11-03,300403.75
2025-11-04,162784.85
2025-11-05,270946.99
2025-11-06,153360.83
2025-11-07,215469.56
2025-11-08,250283.78
2025-11-09,255466.77
2025-11-10,282401.17
2025-11-11,189841.99
2025-11-12,317200.71
2025-11-13,177955.36000000002
2025-11-14,247677.37
2025-11-15,196686.06
2025-11-16,195885.96
2025-11-17,222872.7
2025-11-18,224379.35
2025-11-19,164967.59
2025-11-20,206074.27
2025-11-21,241776.36
2025-11-22,179566.37
2025-11-23,252795.02
2025-11-24,275763.85
2025-11-25,297982.21
2025-11-26,218237.23
2025-11-27,205073.09
2025-11-28,250885.78
2025-11-29,225318.54
2025-11-30,225825.36
2025-12-01,275160.05
2025-12-02,162951.26
2025-12-03,252273.63
2025-12-04,226569.48
2025-12-05,231195.7
2025-12-06,302802.7
2025-12-07,247434.8
2025-12-08,211657.84
2025-12-09,192444.11000000002
2025-12-10,194611.49
2025-12-11,403873.95
2025-12-12,189873.47
2025-12-13,252178.3
2025-12-14,285046.85
2025-12-15,244564.09
2025-12-16,172582.02
2025-12-17,212934.48
2025-12-18,154947.82
2025-12-19,295468.95
2025-12-20,239953.9
2025-12-21,184099.08
2025-12-22,251930.97
2025-12-23,273062.24
2025-12-24,236935.66
2025-12-25,232741.4
2025-12-26,208508.69
2025-12-27,253555.83000000002
2025-12-28,191132.61000000002
2025-12-29,178202.36
2025-12-30,260807.67
2025-12-31,250417.86
